analysis,model,feature_set,train_profile,test_profile,true_label,pred_label,count
within_profile_leave_one_concurrency_out,llama,decode,128/32,128/32,0,1,0
within_profile_leave_one_concurrency_out,llama,decode,128/32,128/32,1,0,0
within_profile_leave_one_concurrency_out,llama,decode,128/32,128/32,1,1,6
within_profile_leave_one_concurrency_out,llama,all3,128/32,128/32,0,0,6
within_profile_leave_one_concurrency_out,llama,all3,128/32,128/32,0,1,0
within_profile_leave_one_concurrency_out,llama,all3,128/32,128/32,1,0,0
within_profile_leave_one_concurrency_out,llama,all3,128/32,128/32,1,1,6
within_profile_leave_one_concurrency_out,llama,decode,256/64,256/64,0,0,6
within_profile_leave_one_concurrency_out,llama,decode,256/64,256/64,0,1,0
within_profile_leave_one_concurrency_out,llama,decode,256/64,256/64,1,0,0
within_profile_leave_one_concurrency_out,llama,decode,256/64,256/64,1,1,6
within_profile_leave_one_concurrency_out,llama,all3,256/64,256/64,0,0,6
within_profile_leave_one_concurrency_out,llama,all3,256/64,256/64,0,1,0
within_profile_leave_one_concurrency_out,llama,all3,256/64,256/64,1,0,0
within_profile_leave_one_concurrency_out,llama,all3,256/64,256/64,1,1,6
within_profile_leave_one_concurrency_out,llama,decode,512/128,512/128,0,0,6
within_profile_leave_one_concurrency_out,llama,decode,512/128,512/128,0,1,0
within_profile_leave_one_concurrency_out,llama,decode,512/128,512/128,1,0,0
within_profile_leave_one_concurrency_out,llama,decode,512/128,512/128,1,1,6
within_profile_leave_one_concurrency_out,llama,all3,512/128,512/128,0,0,6
within_profile_leave_one_concurrency_out,llama,all3,512/128,512/128,0,1,0
within_profile_leave_one_concurrency_out,llama,all3,512/128,512/128,1,0,0
within_profile_leave_one_concurrency_out,llama,all3,512/128,512/128,1,1,6
within_profile_leave_one_concurrency_out,qwen,decode,128/32,128/32,0,0,6
within_profile_leave_one_concurrency_out,qwen,decode,128/32,128/32,0,1,0
within_profile_leave_one_concurrency_out,qwen,decode,128/32,128/32,1,0,0
within_profile_leave_one_concurrency_out,qwen,decode,128/32,128/32,1,1,6
within_profile_leave_one_concurrency_out,qwen,all3,128/32,128/32,0,0,6
within_profile_leave_one_concurrency_out,qwen,all3,128/32,128/32,0,1,0
within_profile_leave_one_concurrency_out,qwen,all3,128/32,128/32,1,0,0
within_profile_leave_one_concurrency_out,qwen,all3,128/32,128/32,1,1,6
within_profile_leave_one_concurrency_out,qwen,decode,256/64,256/64,0,0,6
within_profile_leave_one_concurrency_out,qwen,decode,256/64,256/64,0,1,0
within_profile_leave_one_concurrency_out,qwen,decode,256/64,256/64,1,0,0
within_profile_leave_one_concurrency_out,qwen,decode,256/64,256/64,1,1,6
within_profile_leave_one_concurrency_out,qwen,all3,256/64,256/64,0,0,6
within_profile_leave_one_concurrency_out,qwen,all3,256/64,256/64,0,1,0
within_profile_leave_one_concurrency_out,qwen,all3,256/64,256/64,1,0,0
within_profile_leave_one_concurrency_out,qwen,all3,256/64,256/64,1,1,6
within_profile_leave_one_concurrency_out,qwen,decode,512/128,512/128,0,0,6
within_profile_leave_one_concurrency_out,qwen,decode,512/128,512/128,0,1,0
within_profile_leave_one_concurrency_out,qwen,decode,512/128,512/128,1,0,0
within_profile_leave_one_concurrency_out,qwen,decode,512/128,512/128,1,1,6
within_profile_leave_one_concurrency_out,qwen,all3,512/128,512/128,0,0,6
within_profile_leave_one_concurrency_out,qwen,all3,512/128,512/128,0,1,0
within_profile_leave_one_concurrency_out,qwen,all3,512/128,512/128,1,0,0
within_profile_leave_one_concurrency_out,qwen,all3,512/128,512/128,1,1,6
train_reference_test_other_profile,llama,decode,256/64,128/32,0,0,6
train_reference_test_other_profile,llama,decode,256/64,128/32,0,1,0
train_reference_test_other_profile,llama,decode,256/64,128/32,1,0,0
train_reference_test_other_profile,llama,decode,256/64,128/32,1,1,6
train_reference_test_other_profile,llama,all3,256/64,128/32,0,0,6
train_reference_test_other_profile,llama,all3,256/64,128/32,0,1,0
train_reference_test_other_profile,llama,all3,256/64,128/32,1,0,0
train_reference_test_other_profile,llama,all3,256/64,128/32,1,1,6
train_reference_test_other_profile,llama,decode,256/64,512/128,0,0,6
train_reference_test_other_profile,llama,decode,256/64,512/128,0,1,0
train_reference_test_other_profile,llama,decode,256/64,512/128,1,0,0
train_reference_test_other_profile,llama,decode,256/64,512/128,1,1,6
train_reference_test_other_profile,llama,all3,256/64,512/128,0,0,6
train_reference_test_other_profile,llama,all3,256/64,512/128,0,1,0
train_reference_test_other_profile,llama,all3,256/64,512/128,1,0,0
train_reference_test_other_profile,llama,all3,256/64,512/128,1,1,6
train_reference_test_other_profile,qwen,decode,256/64,128/32,0,0,6
train_reference_test_other_profile,qwen,decode,256/64,128/32,0,1,0
train_reference_test_other_profile,qwen,decode,256/64,128/32,1,0,0
train_reference_test_other_profile,qwen,decode,256/64,128/32,1,1,6
train_reference_test_other_profile,qwen,all3,256/64,128/32,0,0,6
train_reference_test_other_profile,qwen,all3,256/64,128/32,0,1,0
train_reference_test_other_profile,qwen,all3,256/64,128/32,1,0,0
train_reference_test_other_profile,qwen,all3,256/64,128/32,1,1,6
train_reference_test_other_profile,qwen,decode,256/64,512/128,0,0,6
train_reference_test_other_profile,qwen,decode,256/64,512/128,0,1,0
train_reference_test_other_profile,qwen,decode,256/64,512/128,1,0,0
train_reference_test_other_profile,qwen,decode,256/64,512/128,1,1,6
train_reference_test_other_profile,qwen,all3,256/64,512/128,0,0,6
train_reference_test_other_profile,qwen,all3,256/64,512/128,0,1,0
train_reference_test_other_profile,qwen,all3,256/64,512/128,1,0,0
train_reference_test_other_profile,qwen,all3,256/64,512/128,1,1,6
leave_one_profile_out,llama,decode,256/64+512/128,128/32,0,0,6
leave_one_profile_out,llama,decode,256/64+512/128,128/32,0,1,0
leave_one_profile_out,llama,decode,256/64+512/128,128/32,1,0,0
leave_one_profile_out,llama,decode,256/64+512/128,128/32,1,1,6
leave_one_profile_out,llama,all3,256/64+512/128,128/32,0,0,6
leave_one_profile_out,llama,all3,256/64+512/128,128/32,0,1,0
leave_one_profile_out,llama,all3,256/64+512/128,128/32,1,0,0
leave_one_profile_out,llama,all3,256/64+512/128,128/32,1,1,6
leave_one_profile_out,llama,decode,128/32+512/128,256/64,0,0,6
leave_one_profile_out,llama,decode,128/32+512/128,256/64,0,1,0
leave_one_profile_out,llama,decode,128/32+512/128,256/64,1,0,0
leave_one_profile_out,llama,decode,128/32+512/128,256/64,1,1,6
leave_one_profile_out,llama,all3,128/32+512/128,256/64,0,0,6
leave_one_profile_out,llama,all3,128/32+512/128,256/64,0,1,0
leave_one_profile_out,llama,all3,128/32+512/128,256/64,1,0,0
leave_one_profile_out,llama,all3,128/32+512/128,256/64,1,1,6
leave_one_profile_out,llama,decode,128/32+256/64,512/128,0,0,6
leave_one_profile_out,llama,decode,128/32+256/64,512/128,0,1,0
leave_one_profile_out,llama,decode,128/32+256/64,512/128,1,0,0
leave_one_profile_out,llama,decode,128/32+256/64,512/128,1,1,6
leave_one_profile_out,llama,all3,128/32+256/64,512/128,0,0,6
leave_one_profile_out,llama,all3,128/32+256/64,512/128,0,1,0
leave_one_profile_out,llama,all3,128/32+256/64,512/128,1,0,0
leave_one_profile_out,llama,all3,128/32+256/64,512/128,1,1,6
leave_one_profile_out,qwen,decode,256/64+512/128,128/32,0,0,6
leave_one_profile_out,qwen,decode,256/64+512/128,128/32,0,1,0
leave_one_profile_out,qwen,decode,256/64+512/128,128/32,1,0,0
leave_one_profile_out,qwen,decode,256/64+512/128,128/32,1,1,6
leave_one_profile_out,qwen,all3,256/64+512/128,128/32,0,0,6
leave_one_profile_out,qwen,all3,256/64+512/128,128/32,0,1,0
leave_one_profile_out,qwen,all3,256/64+512/128,128/32,1,0,0
leave_one_profile_out,qwen,all3,256/64+512/128,128/32,1,1,6
leave_one_profile_out,qwen,decode,128/32+512/128,256/64,0,0,6
leave_one_profile_out,qwen,decode,128/32+512/128,256/64,0,1,0
leave_one_profile_out,qwen,decode,128/32+512/128,256/64,1,0,0
leave_one_profile_out,qwen,decode,128/32+512/128,256/64,1,1,6
leave_one_profile_out,qwen,all3,128/32+512/128,256/64,0,0,6
leave_one_profile_out,qwen,all3,128/32+512/128,256/64,0,1,0
leave_one_profile_out,qwen,all3,128/32+512/128,256/64,1,0,0
leave_one_profile_out,qwen,all3,128/32+512/128,256/64,1,1,6
leave_one_profile_out,qwen,decode,128/32+256/64,512/128,0,0,6
leave_one_profile_out,qwen,decode,128/32+256/64,512/128,0,1,0
leave_one_profile_out,qwen,decode,128/32+256/64,512/128,1,0,0
leave_one_profile_out,qwen,decode,128/32+256/64,512/128,1,1,6
leave_one_profile_out,qwen,all3,128/32+256/64,512/128,0,0,6
leave_one_profile_out,qwen,all3,128/32+256/64,512/128,0,1,0
leave_one_profile_out,qwen,all3,128/32+256/64,512/128,1,0,0
leave_one_profile_out,qwen,all3,128/32+256/64,512/128,1,1,6
